LO_Power,25
IF_volt,0.75
Note: 
|['LO_F', 'IF_F', 'q', 'phase', 'dc_i', 'dc_q', 'H-1', 'H0', 'H1', 'H2', 'H3']|
9000000000.0,50000000.0,0.9756333333333334,97.50000000000001,-0.036666666666666674,0.059333333333333335,-63.88733333333333,-64.59333333333333,-10.478,-65.07333333333334,-65.07266666666666
9000000000.0,100000000.0,0.9779000000000001,97.50000000000001,-0.03670133277773857,0.05935024470090866,-65.331,-66.288,-12.52,-67.33033333333334,-67.47933333333333
9000000000.0,150000000.0,0.9801666666666667,97.50000000000001,-0.03733333333333334,0.059333333333333335,-67.17233333333333,-66.02966666666666,-12.051,-66.78566666666667,-67.51599999999999
9000000000.0,200000000.0,0.9767666666666667,97.08333333333333,-0.03733256086707115,0.05935024470090866,-67.00533333333334,-66.21533333333333,-11.8,-67.68033333333334,-64.55333333333334
9000000000.0,250000000.0,0.9694,96.75,-0.03733333333333334,0.058,-65.37533333333333,-67.759,-12.167,-68.61233333333332,-61.565
9000000000.0,300000000.0,0.9603333333333334,97.08333333333333,-0.03733256086707115,0.05799932777881622,-67.41466666666666,-67.62866666666667,-12.793,-65.22500000000001,-57.531666666666666
9000000000.0,350000000.0,0.9575,97.50000000000001,-0.03733256086707115,0.05799932777881622,-66.30666666666667,-68.30266666666667,-12.407,-60.841,-59.42766666666667
9000000000.0,400000000.0,0.9552333333333334,97.50000000000001,-0.03733256086707115,0.05799932777881622,-67.104,-66.98533333333333,-12.765,-58.092,-58.053999999999995
9000000000.0,450000000.0,0.9518333333333334,97.83333333333334,-0.03733256086707115,0.05799932777881622,-67.51266666666666,-65.717,-12.659,-54.928333333333335,-57.7
9000000000.0,500000000.0,0.9467333333333333,98.00000000000001,-0.036666666666666674,0.059333333333333335,-67.79533333333333,-67.61,-12.972,-52.89066666666667,-55.64833333333333
9100000000.0,50000000.0,0.9801666666666667,97.08333333333333,-0.02500000000000001,0.05266666666666667,-65.27266666666667,-65.47566666666667,-9.949,-65.89766666666667,-64.41766666666666
9100000000.0,100000000.0,0.9779000000000001,96.75,-0.024978548288345337,0.052685726433992386,-67.39699999999999,-66.17866666666667,-11.815,-66.82900000000001,-66.753
